_respondent_id,Q1_Age,Q2_Occupation,Q3_Ethnicity,Q4_Income,Q5_Wardrobe_Size,Q6_Shopping_Frequency,Q7_Current_Brands,Q8_Shopping_Channels,Q9_Spend_Per_Kurti,Q10_Purchase_Triggers,Q11_Style_Preference,Q12_Fabric_Preference,Q13_Color_Preference,Q14_Fit_Preference,Q15_Print_Preference,Q16_Sleeve_Preference,Q16_Neckline_Preference,Q16_Length_Preference,Q17_Bottom_Pairing,Q18_Occasions,Q19_Pack_Interest,Q20_Bundle_Budget,Q21_Discount_Preference,Q22_Fashion_Identity,Q23_Pain_Points,Q24_Return_Anxiety,Q25_Purchase_Intent,_persona
R0312,18-22,Student (School/Undergraduate),South Asian,No personal income,1-5,Only during festivals/occasions,Local UAE stores/boutiques; Buy during India visits,"Buy from India (trips or family shipments); Physical stores/malls in UAE; Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Sale or discount offer,Peplum; Crop kurti,,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange); Earthy tones (mustard, rust, olive, brown); Pastels (peach, lavender, mint, blush)",Flared/breezy fit,Geometric/abstract; Digital/contemporary prints,Full sleeves; Sleeveless; 3/4th sleeves,Round neck; V-neck,Hip length (above mid-thigh),Jeans/denim; Palazzo pants,"Daily college/university wear; Office/workplace; Festivals (Diwali, Eid, etc.); Family gatherings/dinners; Parties/date nights","Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,,I follow trends closely and love experimenting with new styles,,Sometimes - depends on the brand/platform,Might or might not,campus
R0313,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",More than 20,Once in 2-3 months,Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Buy from India (trips or family shipments)",Under 30 AED,Upcoming festival/occasion; Saw something trending on social media; Impulse/mood shopping,A-line; Asymmetric/high-low hem; Crop kurti; Kaftan-style,Pure Cotton,"Pastels (peach, lavender, mint, blush); Multi-color/prints",Relaxed/loose fit,Block print/Jaipur print,Bell/statement sleeves,V-neck,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings; Palazzo pants,Parties/date nights; Weekend/lounging,Campus Essentials (3 daily-wear cotton kurtis),Under 80 AED,Buy 2 Get 1 Free; Free delivery; First-order discount,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Not enough options for my size,Never - I'm confident buying online,Probably would buy,campus
R0314,35 and above,Other,South Asian,"3,000-7,000 AED",1-5,Rarely/Never,I don't buy kurtis currently,Physical stores/malls in UAE,61-100 AED,Upcoming festival/occasion,A-line,No preference,"Jewel tones (emerald, maroon, royal blue, deep purple)",Relaxed/loose fit,Block print/Jaipur print,Bell/statement sleeves,Shirt collar,Hip length (above mid-thigh),Leggings/jeggings,Parties/date nights; I don't wear kurtis currently,None - I prefer buying single pieces,80-120 AED,"Buy 2 Get 1 Free; I don't need discounts - I buy if I like the product; Flat percentage off (e.g., 20% off)",I love mixing Indian and Western styles to create my own look,Sizing is inconsistent across brands; No major frustrations,Never - I'm confident buying online,Probably would buy,non_customer
R0315,23-27,Working Professional,Other,No personal income,6-12,Once in 2-3 months,W for Woman,Brand websites (D2C online stores),Above 250 AED,New season or collection drop,Straight-cut; Kaftan-style,Pure Cotton; Cotton-Linen blend; Muslin,"Pastels (peach, lavender, mint, blush)",Regular/comfort fit,Solid/plain,Full sleeves,Round neck; Shirt collar,Just above knee,Dhoti pants/tulip pants,"Casual outings/errands; Festivals (Diwali, Eid, etc.)",None - I prefer buying single pieces,Under 80 AED,"Flat percentage off (e.g., 20% off); Referral rewards; I don't need discounts - I buy if I like the product",I prioritize comfort and practicality above everything,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged),Never - I'm confident buying online,Definitely would buy,minimalist
R0316,18-22,Self-Employed/Freelancer,South Asian,"3,000-7,000 AED",,2-3 times a month,Libas; Meesho/unbranded sellers,Instagram/Social media shops,Under 30 AED,Sale or discount offer; Saw something trending on social media; Gift for someone,Crop kurti; Kaftan-style,Muslin,Multi-color/prints,Regular/comfort fit,Stripes/checks; Mirror work/sequins; Digital/contemporary prints,Bell/statement sleeves,Round neck; Boat neck,Mid-thigh; Just above knee,Jeans/denim; Cigarette/straight pants; Skirts,Daily college/university wear; Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Under 80 AED,Combo price lower than individual total,I love mixing Indian and Western styles to create my own look,Too expensive for the quality offered,Rarely - I'm usually okay with online purchases,Probably would not,trend
R0317,28-34,Self-Employed/Freelancer,Arab/Middle Eastern,"7,001-12,000 AED",6-12,Once a month,Libas; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh; New season or collection drop,A-line; Crop kurti,Pure Cotton,"Pastels (peach, lavender, mint, blush); Neutrals (black, white, beige, grey); Multi-color/prints",Slim/body-hugging fit,Florals; Solid/plain; Digital/contemporary prints,3/4th sleeves,Round neck; V-neck,Mid-thigh,Cigarette/straight pants; Skirts,"Festivals (Diwali, Eid, etc.)",9-to-5 Edit (3 workwear kurtis),181-250 AED,Free delivery; Combo price lower than individual total,I prioritize comfort and practicality above everything,Limited trendy options for short kurtis; Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Might or might not,professional
R0318,23-27,Working Professional,Arab/Middle Eastern,No personal income,1-5,2-3 times a month,Libas,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Instagram/Social media shops",30-60 AED,Sale or discount offer; New season or collection drop,A-line,Cotton-Linen blend; Rayon,"Pastels (peach, lavender, mint, blush)",Slim/body-hugging fit,Florals; Solid/plain; Digital/contemporary prints,3/4th sleeves; Sleeveless; Full sleeves,V-neck,,Jeans/denim,Casual outings/errands; Parties/date nights,"Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,Referral rewards; Free delivery; First-order discount,I have a set style - I know what works and stick to it,Too expensive for the quality offered; Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Probably would buy,campus
R0319,18-22,Student (School/Undergraduate),South Asian,No personal income,6-12,Only during festivals/occasions,Anouk (Myntra); Instagram/WhatsApp small brands; Local UAE stores/boutiques,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",Under 30 AED,Sale or discount offer,A-line; Peplum,Pure Cotton,Multi-color/prints,Relaxed/loose fit,,3/4th sleeves,Round neck,Mid-thigh,Jeans/denim; Palazzo pants; Cigarette/straight pants,Daily college/university wear; Family gatherings/dinners; Parties/date nights,Campus Essentials (3 daily-wear cotton kurtis),121-180 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; Free delivery",I prioritize comfort and practicality above everything,Fabric quality doesn't match product photos; Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Probably would not,campus
R0320,23-27,Self-Employed/Freelancer,Western/European,"7,001-12,000 AED",6-12,Once a month,Biba,Brand websites (D2C online stores),Above 250 AED,Need for daily/work wardrobe refresh; New season or collection drop,Shirt-style/collar; Crop kurti; Kaftan-style,Pure Cotton,"Neutrals (black, white, beige, grey)",Regular/comfort fit,Digital/contemporary prints,Full sleeves,Boat neck,Just above knee,Jeans/denim; Cigarette/straight pants; Dhoti pants/tulip pants,Office/workplace,Campus Essentials (3 daily-wear cotton kurtis),Above 250 AED,Combo price lower than individual total,I love mixing Indian and Western styles to create my own look,Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Probably would buy,professional
R0321,18-22,Homemaker,South Asian,"12,001-20,000 AED",6-12,Once a month,Libas; Biba; W for Woman,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Buy from India (trips or family shipments)",30-60 AED,New season or collection drop; Gift for someone,Anarkali (short flared),Georgette/Chiffon; Silk/Chanderi,"Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Mirror work/sequins,,,Hip length (above mid-thigh),Palazzo pants; Cigarette/straight pants,Weekend/lounging,Festive Glow (2 embroidered/silk kurtis),181-250 AED,Buy 2 Get 1 Free,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; No major frustrations,Sometimes - depends on the brand/platform,Might or might not,festive
R0322,18-22,Student (Postgraduate),South Asian,"Under 3,000 AED",1-5,2-3 times a month,Buy during India visits,Instagram/Social media shops; Buy from India (trips or family shipments),61-100 AED,Sale or discount offer; Saw something trending on social media; New season or collection drop,A-line; Asymmetric/high-low hem; Crop kurti; Kaftan-style,Georgette/Chiffon; Muslin,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Florals; Embroidered/thread work; Digital/contemporary prints,Short/half sleeves,Round neck,Just above knee,Palazzo pants,Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",,,I follow trends closely and love experimenting with new styles,Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would buy,trend
R0323,Under 18,Student (School/Undergraduate),Arab/Middle Eastern,"Above 20,000 AED",1-5,Weekly,Anouk (Myntra); Meesho/unbranded sellers; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Physical stores/malls in UAE",Under 30 AED,Upcoming festival/occasion; Saw something trending on social media,A-line,Pure Cotton; Georgette/Chiffon,"Pastels (peach, lavender, mint, blush)",Regular/comfort fit,Florals; Block print/Jaipur print; Stripes/checks,Bell/statement sleeves,Boat neck,Mid-thigh,Jeans/denim; Palazzo pants; Cigarette/straight pants,"Festivals (Diwali, Eid, etc.); Parties/date nights","Campus Essentials (3 daily-wear cotton kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,Referral rewards,I follow trends closely and love experimenting with new styles,Can't find good curated sets/bundles,"Yes, frequently - it's a major concern",Probably would not,trend
R0324,28-34,Working Professional,South Asian,"7,001-12,000 AED",1-5,Once a month,W for Woman,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,Upcoming festival/occasion; Sale or discount offer; Impulse/mood shopping,Kaftan-style,Pure Cotton; Cotton-Linen blend; No preference,"Pastels (peach, lavender, mint, blush); Jewel tones (emerald, maroon, royal blue, deep purple); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Solid/plain; Embroidered/thread work; Mirror work/sequins; Digital/contemporary prints,Short/half sleeves; Bell/statement sleeves,Round neck,Knee length,Palazzo pants; Cigarette/straight pants,Office/workplace,9-to-5 Edit (3 workwear kurtis),121-180 AED,"Flat percentage off (e.g., 20% off); Free delivery; Referral rewards",I have a set style - I know what works and stick to it,Sizing is inconsistent across brands,"Yes, frequently - it's a major concern",Probably would not,professional
R0325,18-22,Self-Employed/Freelancer,Arab/Middle Eastern,"12,001-20,000 AED",None,Rarely/Never,,Instagram/Social media shops,61-100 AED,Impulse/mood shopping,Asymmetric/high-low hem,Pure Cotton,"Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Geometric/abstract,Short/half sleeves,Boat neck,Mid-thigh,Cigarette/straight pants,I don't wear kurtis currently,None - I prefer buying single pieces,Under 80 AED,"Flat percentage off (e.g., 20% off); First-order discount",I only dress up for occasions - daily wear is minimal effort,No major frustrations,Rarely - I'm usually okay with online purchases,Definitely would not,non_customer
R0326,23-27,Working Professional,South Asian,"7,001-12,000 AED",6-12,2-3 times a month,Anouk (Myntra); Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi)",30-60 AED,Sale or discount offer; New season or collection drop; Impulse/mood shopping,Peplum; Asymmetric/high-low hem; Crop kurti,Pure Cotton; Denim-look fabric,Multi-color/prints,Slim/body-hugging fit,Digital/contemporary prints,Bell/statement sleeves,V-neck; Boat neck; Shirt collar,Hip length (above mid-thigh),Jeans/denim; Palazzo pants,Daily college/university wear; Office/workplace,,121-180 AED,"Flat percentage off (e.g., 20% off); Combo price lower than individual total",I love mixing Indian and Western styles to create my own look,Limited trendy options for short kurtis,"Yes, frequently - it's a major concern",Probably would buy,trend
R0327,28-34,Working Professional,Arab/Middle Eastern,"Above 20,000 AED",More than 20,Only during festivals/occasions,Libas; Meesho/unbranded sellers,Buy from India (trips or family shipments),61-100 AED,Upcoming festival/occasion,Straight-cut; Anarkali (short flared),Georgette/Chiffon; Muslin,"Earthy tones (mustard, rust, olive, brown); Jewel tones (emerald, maroon, royal blue, deep purple)",Regular/comfort fit,Geometric/abstract,Bell/statement sleeves,Round neck,Mid-thigh,Palazzo pants,Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",121-180 AED,"Buy 2 Get 1 Free; Free delivery; Flat percentage off (e.g., 20% off)",I follow trends closely and love experimenting with new styles,Sizing is inconsistent across brands; Poor delivery experience to UAE (slow/damaged),"Yes, frequently - it's a major concern",Probably would not,festive
R0328,18-22,Working Professional,South Asian,"3,000-7,000 AED",More than 20,2-3 times a month,Biba; Instagram/WhatsApp small brands; Buy during India visits,Physical stores/malls in UAE,Above 250 AED,Upcoming festival/occasion; Sale or discount offer; Saw something trending on social media,A-line,,"Pastels (peach, lavender, mint, blush)",Relaxed/loose fit,Stripes/checks; Embroidered/thread work; Mirror work/sequins,Full sleeves,,Knee length,Dhoti pants/tulip pants,Casual outings/errands,Festive Glow (2 embroidered/silk kurtis),Above 250 AED,Free delivery; Combo price lower than individual total; Referral rewards,I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands; Limited trendy options for short kurtis; Poor delivery experience to UAE (slow/damaged); Can't find good curated sets/bundles,Rarely - I'm usually okay with online purchases,Might or might not,festive
R0329,18-22,Self-Employed/Freelancer,Western/European,"12,001-20,000 AED",6-12,Once a month,Libas; Meesho/unbranded sellers,Brand websites (D2C online stores); Instagram/Social media shops; Physical stores/malls in UAE,101-150 AED,Need for daily/work wardrobe refresh; New season or collection drop,Straight-cut; A-line,,"Earthy tones (mustard, rust, olive, brown)",Slim/body-hugging fit,Florals; Geometric/abstract,3/4th sleeves,Mandarin/band collar,Hip length (above mid-thigh); Knee length,Leggings/jeggings; Cigarette/straight pants,Office/workplace; Family gatherings/dinners; Weekend/lounging,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis),121-180 AED,Free delivery,I have a set style - I know what works and stick to it,No major frustrations,,Definitely would buy,professional
R0330,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",1-5,Once a month,Anouk (Myntra); Biba; Meesho/unbranded sellers,Brand websites (D2C online stores); Physical stores/malls in UAE,101-150 AED,Sale or discount offer; Impulse/mood shopping; Upcoming festival/occasion,Crop kurti,Rayon,,Relaxed/loose fit,Florals,3/4th sleeves; Bell/statement sleeves,V-neck,Mid-thigh,Jeans/denim; Leggings/jeggings,Parties/date nights,Festive Glow (2 embroidered/silk kurtis),Under 80 AED,"Flat percentage off (e.g., 20% off)",I only dress up for occasions - daily wear is minimal effort,Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Probably would not,campus
R0331,28-34,Working Professional,South Asian,"Above 20,000 AED",6-12,Once in 2-3 months,Libas; Biba,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores)",Under 30 AED,Upcoming festival/occasion,Shirt-style/collar; Crop kurti,Pure Cotton; Cotton-Linen blend,"Earthy tones (mustard, rust, olive, brown); Neutrals (black, white, beige, grey)",Relaxed/loose fit,Geometric/abstract; Stripes/checks,Full sleeves; 3/4th sleeves; Short/half sleeves,Boat neck; Shirt collar,Just above knee; Knee length,Palazzo pants,Casual outings/errands; Family gatherings/dinners,"9-to-5 Edit (3 workwear kurtis); Vibe Check Drop (1 trendy statement piece, monthly limited)",181-250 AED,Free delivery; First-order discount; Combo price lower than individual total,I have a set style - I know what works and stick to it,Fabric quality doesn't match product photos; Too expensive for the quality offered; Difficult or costly returns; Can't find good curated sets/bundles,Sometimes - depends on the brand/platform,Probably would buy,professional
R0332,23-27,Self-Employed/Freelancer,South Asian,"Under 3,000 AED",13-20,Once a month,Biba; W for Woman; Instagram/WhatsApp small brands,Physical stores/malls in UAE; Buy from India (trips or family shipments),101-150 AED,Saw something trending on social media; New season or collection drop,Peplum; Kaftan-style,Georgette/Chiffon,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Relaxed/loose fit,Florals,Short/half sleeves,V-neck,Hip length (above mid-thigh),Jeans/denim,Family gatherings/dinners,"Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Buy 2 Get 1 Free,I love mixing Indian and Western styles to create my own look,No major frustrations,"Yes, frequently - it's a major concern",Definitely would buy,trend
R0333,18-22,Student (School/Undergraduate),Western/European,"7,001-12,000 AED",1-5,Once in 2-3 months,Anouk (Myntra),Instagram/Social media shops,101-150 AED,New season or collection drop,Straight-cut; Anarkali (short flared); Asymmetric/high-low hem; Crop kurti,Pure Cotton,"Pastels (peach, lavender, mint, blush); Earthy tones (mustard, rust, olive, brown); Multi-color/prints",Regular/comfort fit,Florals; Solid/plain; Mirror work/sequins,Short/half sleeves,Round neck; V-neck; Keyhole/cut-out,Hip length (above mid-thigh),Leggings/jeggings; Palazzo pants,Daily college/university wear; Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis),80-120 AED,Free delivery; Referral rewards; Buy 2 Get 1 Free,I love mixing Indian and Western styles to create my own look,Fabric quality doesn't match product photos; Not enough options for my size,Sometimes - depends on the brand/platform,Probably would not,campus
R0334,35 and above,Homemaker,South Asian,"3,000-7,000 AED",1-5,Once a month,Libas; Anouk (Myntra); Local UAE stores/boutiques,Instagram/Social media shops,30-60 AED,Impulse/mood shopping,Shirt-style/collar,Pure Cotton; Muslin,"Earthy tones (mustard, rust, olive, brown)",Regular/comfort fit,Florals; Embroidered/thread work,Full sleeves; Short/half sleeves,Shirt collar,Just above knee,Leggings/jeggings; Skirts,"Daily college/university wear; Festivals (Diwali, Eid, etc.); Weekend/lounging",Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,"Flat percentage off (e.g., 20% off); Free delivery",I love mixing Indian and Western styles to create my own look,Limited trendy options for short kurtis,Sometimes - depends on the brand/platform,Definitely would buy,campus
R0335,28-34,Working Professional,South Asian,"7,001-12,000 AED",More than 20,Rarely/Never,Meesho/unbranded sellers,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Physical stores/malls in UAE",Under 30 AED,Sale or discount offer; Gift for someone,A-line; Anarkali (short flared),Pure Cotton; Rayon,Multi-color/prints,Regular/comfort fit,Florals; Digital/contemporary prints,Short/half sleeves,,Mid-thigh,Jeans/denim; Leggings/jeggings,Daily college/university wear,Campus Essentials (3 daily-wear cotton kurtis),121-180 AED,Buy 2 Get 1 Free; First-order discount,I love mixing Indian and Western styles to create my own look,Too expensive for the quality offered,Rarely - I'm usually okay with online purchases,Definitely would buy,campus
R0336,18-22,Student (School/Undergraduate),Western/European,No personal income,More than 20,Once in 2-3 months,Meesho/unbranded sellers; Local UAE stores/boutiques; Instagram/WhatsApp small brands,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops",61-100 AED,Upcoming festival/occasion,A-line; Asymmetric/high-low hem,Pure Cotton,"Pastels (peach, lavender, mint, blush); Multi-color/prints",Relaxed/loose fit,Florals; Mirror work/sequins,Full sleeves; 3/4th sleeves,Round neck; Mandarin/band collar,Mid-thigh; Knee length,Leggings/jeggings,"Daily college/university wear; Office/workplace; Festivals (Diwali, Eid, etc.)",Campus Essentials (3 daily-wear cotton kurtis); Festive Glow (2 embroidered/silk kurtis),Under 80 AED,,I follow trends closely and love experimenting with new styles,Limited trendy options for short kurtis; Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would buy,campus
R0337,Under 18,Homemaker,Southeast Asian,"3,000-7,000 AED",6-12,Once in 2-3 months,Buy during India visits,Brand websites (D2C online stores),Above 250 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh,Shirt-style/collar,Pure Cotton; Muslin,"Earthy tones (mustard, rust, olive, brown)",Relaxed/loose fit,Block print/Jaipur print; Solid/plain,Sleeveless,Boat neck,Knee length,Jeans/denim,Family gatherings/dinners,Campus Essentials (3 daily-wear cotton kurtis),181-250 AED,Buy 2 Get 1 Free; I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Sizing is inconsistent across brands; Poor delivery experience to UAE (slow/damaged); No major frustrations,Never - I'm confident buying online,Definitely would not,minimalist
R0338,23-27,Working Professional,Arab/Middle Eastern,No personal income,More than 20,2-3 times a month,Meesho/unbranded sellers; Instagram/WhatsApp small brands,Instagram/Social media shops,,Saw something trending on social media; New season or collection drop,Peplum; Asymmetric/high-low hem; Crop kurti; Kaftan-style,Rayon; Silk/Chanderi; Denim-look fabric; No preference,"Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,Florals; Digital/contemporary prints,Sleeveless,V-neck,Mid-thigh; Knee length,Cigarette/straight pants,"Casual outings/errands; Festivals (Diwali, Eid, etc.); Parties/date nights","Vibe Check Drop (1 trendy statement piece, monthly limited)",80-120 AED,Free delivery; Combo price lower than individual total; Referral rewards,I follow trends closely and love experimenting with new styles,Not enough options for my size,Never - I'm confident buying online,Definitely would buy,trend
R0339,23-27,Other,South Asian,"Above 20,000 AED",13-20,2-3 times a month,Libas; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores); Physical stores/malls in UAE",101-150 AED,Upcoming festival/occasion,Asymmetric/high-low hem; Kaftan-style,Georgette/Chiffon; Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple)",Regular/comfort fit,Mirror work/sequins,Full sleeves,V-neck; Keyhole/cut-out,Just above knee,Jeans/denim; Palazzo pants,Parties/date nights,"Vibe Check Drop (1 trendy statement piece, monthly limited)",Above 250 AED,Free delivery; Combo price lower than individual total,I have a set style - I know what works and stick to it,Too expensive for the quality offered,"Yes, frequently - it's a major concern",Might or might not,festive
R0340,18-22,Student (School/Undergraduate),South Asian,No personal income,13-20,Weekly,Anouk (Myntra); Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Brand websites (D2C online stores)",30-60 AED,Sale or discount offer; Need for daily/work wardrobe refresh; Gift for someone,Anarkali (short flared); Peplum; Asymmetric/high-low hem; Crop kurti,Pure Cotton; Denim-look fabric,"Pastels (peach, lavender, mint, blush); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Stripes/checks,3/4th sleeves; Short/half sleeves,Round neck; V-neck,,Jeans/denim; Skirts,Casual outings/errands; Parties/date nights,Campus Essentials (3 daily-wear cotton kurtis); 9-to-5 Edit (3 workwear kurtis),181-250 AED,"Flat percentage off (e.g., 20% off); Buy 2 Get 1 Free; Free delivery",I only dress up for occasions - daily wear is minimal effort,Difficult or costly returns,Rarely - I'm usually okay with online purchases,Might or might not,campus
R0341,23-27,,South Asian,"7,001-12,000 AED",More than 20,Only during festivals/occasions,Biba; Local UAE stores/boutiques,Buy from India (trips or family shipments),Above 250 AED,Gift for someone,A-line; Anarkali (short flared); Kaftan-style,Rayon; Georgette/Chiffon; Silk/Chanderi,"Jewel tones (emerald, maroon, royal blue, deep purple)",Slim/body-hugging fit,Florals; Block print/Jaipur print; Mirror work/sequins,Full sleeves; 3/4th sleeves,Boat neck,Knee length,Leggings/jeggings,"Festivals (Diwali, Eid, etc.); Family gatherings/dinners",Festive Glow (2 embroidered/silk kurtis),121-180 AED,Free delivery,I prioritize comfort and practicality above everything,Too expensive for the quality offered,Never - I'm confident buying online,Probably would not,festive
R0342,23-27,Working Professional,South Asian,"Under 3,000 AED",,Once a month,Biba; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi)",101-150 AED,Upcoming festival/occasion; Gift for someone,A-line; Peplum,Silk/Chanderi; No preference,"Bright/Pop colors (red, yellow, hot pink, orange)",Flared/breezy fit,,Full sleeves,Keyhole/cut-out,Knee length,Leggings/jeggings; Palazzo pants; Dhoti pants/tulip pants; Sharara,"Festivals (Diwali, Eid, etc.); Parties/date nights","Vibe Check Drop (1 trendy statement piece, monthly limited); None - I prefer buying single pieces",181-250 AED,Buy 2 Get 1 Free; Combo price lower than individual total; I don't need discounts - I buy if I like the product,I only dress up for occasions - daily wear is minimal effort,Not enough options for my size,Rarely - I'm usually okay with online purchases,Might or might not,festive
R0343,18-22,Student (School/Undergraduate),South Asian,"Under 3,000 AED",1-5,Weekly,Anouk (Myntra); Meesho/unbranded sellers; Buy during India visits,"Online marketplaces (Amazon, Noon, Namshi); Instagram/Social media shops; Physical stores/malls in UAE",,,A-line,Pure Cotton; Denim-look fabric,"Pastels (peach, lavender, mint, blush)",Flared/breezy fit,Florals; Digital/contemporary prints,Short/half sleeves,Round neck,Hip length (above mid-thigh),Jeans/denim; Leggings/jeggings; Palazzo pants; Dhoti pants/tulip pants,Daily college/university wear; Casual outings/errands,Campus Essentials (3 daily-wear cotton kurtis),80-120 AED,"Flat percentage off (e.g., 20% off); Referral rewards",I follow trends closely and love experimenting with new styles,Too expensive for the quality offered; Difficult or costly returns,Rarely - I'm usually okay with online purchases,Probably would buy,campus
R0344,23-27,Working Professional,South Asian,"3,000-7,000 AED",6-12,Once in 2-3 months,Libas,"Online marketplaces (Amazon, Noon, Namshi)",61-100 AED,Upcoming festival/occasion; Need for daily/work wardrobe refresh,Straight-cut; Shirt-style/collar,Rayon; Denim-look fabric,"Jewel tones (emerald, maroon, royal blue, deep purple); Neutrals (black, white, beige, grey)",Flared/breezy fit,Geometric/abstract; Solid/plain,Full sleeves; 3/4th sleeves; Short/half sleeves,Round neck,Just above knee; Knee length,Leggings/jeggings; Cigarette/straight pants,Office/workplace; Family gatherings/dinners,Festive Glow (2 embroidered/silk kurtis); 9-to-5 Edit (3 workwear kurtis); None - I prefer buying single pieces,Above 250 AED,Free delivery,I have a set style - I know what works and stick to it,Sizing is inconsistent across brands; Fabric quality doesn't match product photos,Sometimes - depends on the brand/platform,Definitely would buy,professional
R0345,28-34,Working Professional,Arab/Middle Eastern,"12,001-20,000 AED",1-5,2-3 times a month,Libas,Brand websites (D2C online stores),30-60 AED,Need for daily/work wardrobe refresh,Straight-cut; Shirt-style/collar,Denim-look fabric; No preference,"Neutrals (black, white, beige, grey); Bright/Pop colors (red, yellow, hot pink, orange)",Regular/comfort fit,Block print/Jaipur print,3/4th sleeves,Mandarin/band collar; Boat neck; Round neck,Knee length,Cigarette/straight pants,Office/workplace,9-to-5 Edit (3 workwear kurtis),121-180 AED,"Flat percentage off (e.g., 20% off)",I prioritize comfort and practicality above everything,Poor delivery experience to UAE (slow/damaged); Difficult or costly returns,Rarely - I'm usually okay with online purchases,Might or might not,professional
